State,tz,DST_Flag,Change_YR,Change_DT,Change_Time
CA,Pacific,DST_on,2015,3/8/2015,2:00
CA,Pacific,DST_off,2015,11/1/2015,2:00
CA,Pacific,DST_on,2016,3/3/2016,2:00
CA,Pacific,DST_off,2016,11/6/2016,2:00
CA,Pacific,DST_on,2017,3/12/2017,2:00
CA,Pacific,DST_off,2017,11/5/2017,2:00
CA,Pacific,DST_on,2018,3/11/2018,2:00
CA,Pacific,DST_off,2018,11/4/2018,2:00
CA,Pacific,DST_on,2019,3/10/2019,2:00
CA,Pacific,DST_off,2019,11/3/2019,2:00
CA,Pacific,DST_on,2020,3/8/2020,2:00
CA,Pacific,DST_off,2020,11/1/2020,2:00
CA,Pacific,DST_on,2021,3/14/2021,2:00
CA,Pacific,DST_off,2021,11/7/2021,2:00
CA,Pacific,DST_on,2022,3/13/2022,2:00
CA,Pacific,DST_off,2022,11/6/2022,2:00